image	output	message	updated_at
10_revenue-tower-interior-1668163706150-2.jpg	clean-images/interior/10_revenue-tower-interior-1668163706150-2.jpg	Codex removal failed	2026-06-26T09:47:13+07:00
exterior/02_graha-sentra-exterior-1680488489913-0.jpg	clean-images/exterior/02_graha-sentra-exterior-1680488489913-0.jpg	Missing output file	2026-06-27T20:17:40+07:00
exterior/02_indonesia-satu-north-tower-exterior-1667793806965-0.jpg	clean-images/exterior/02_indonesia-satu-north-tower-exterior-1667793806965-0.jpg	Missing output file	2026-06-27T20:14:11+07:00
exterior/03_graha-surveyor-indonesia-exterior-1690535795533-2.jpg	clean-images/exterior/03_graha-surveyor-indonesia-exterior-1690535795533-2.jpg	Dimension verification failed	2026-06-27T20:00:02+07:00
exterior/03_south-quarter-tower-b-exterior-1678072842910-0.jpg	clean-images/exterior/03_south-quarter-tower-b-exterior-1678072842910-0.jpg	Missing output file	2026-06-27T20:16:39+07:00
exterior/11_440_landmark-pluit-land-mark-pluit_20170125083824_58218.jpg	clean-images/exterior/11_440_landmark-pluit-land-mark-pluit_20170125083824_58218.jpg	Missing output file	2026-06-27T20:16:17+07:00
floorplan/01_106_landmark-tower-landmark-tower-2_20170316043039_69067.jpg	clean-images/floorplan/01_106_landmark-tower-landmark-tower-2_20170316043039_69067.jpg	Missing output file	2026-06-28T07:16:36+07:00
floorplan/01_127_senayan-square-sentral-senayan-3_20170310045123_57745.jpg	clean-images/floorplan/01_127_senayan-square-sentral-senayan-3_20170310045123_57745.jpg	Missing output file	2026-06-28T07:29:40+07:00
floorplan/01_129_sona-topas-tower-sona-topas-tower_20170418023238_42241.jpg	clean-images/floorplan/01_129_sona-topas-tower-sona-topas-tower_20170418023238_42241.jpg	Codex removal failed	2026-06-28T07:32:32+07:00
floorplan/01_159_the-plaza-the-plaza_20170316044331_62639.jpg	clean-images/floorplan/01_159_the-plaza-the-plaza_20170316044331_62639.jpg	Missing output file	2026-06-28T07:26:44+07:00
floorplan/01_164_blue-green-integrated-boutique-office-blue-green-office-tower_20181015045451_81655.jpg	clean-images/floorplan/01_164_blue-green-integrated-boutique-office-blue-green-office-tower_20181015045451_81655.jpg	Missing output file	2026-06-28T07:17:01+07:00
floorplan/01_168_the-vida-the-vida_20170222074807_22360.jpg	clean-images/floorplan/01_168_the-vida-the-vida_20170222074807_22360.jpg	Missing output file	2026-06-28T07:17:02+07:00
floorplan/01_216_menara-165-menara-165_20170309101151_75681.jpg	clean-images/floorplan/01_216_menara-165-menara-165_20170309101151_75681.jpg	Missing output file	2026-06-28T07:28:47+07:00
floorplan/01_22_city-lofts-sudirman-city-lofts-sudirman_20170331112111_93221.jpg	clean-images/floorplan/01_22_city-lofts-sudirman-city-lofts-sudirman_20170331112111_93221.jpg	Missing output file	2026-06-28T07:17:31+07:00
floorplan/01_247_graha-inti-fauzi-graha-inti-fauzi_20180531061202_49467.jpg	clean-images/floorplan/01_247_graha-inti-fauzi-graha-inti-fauzi_20180531061202_49467.jpg	Dimension verification failed	2026-06-28T07:17:05+07:00
floorplan/01_257_menara-sentraya-menara-sentraya_20170310065613_99967.jpg	clean-images/floorplan/01_257_menara-sentraya-menara-sentraya_20170310065613_99967.jpg	Missing output file	2026-06-28T07:17:24+07:00
floorplan/01_262_menara-hijau-menara-hijau_20170331113111_52925.jpg	clean-images/floorplan/01_262_menara-hijau-menara-hijau_20170331113111_52925.jpg	Missing output file	2026-06-28T07:39:26+07:00
floorplan/01_281_the-prime-ex-bkp-office-tower-the-prime_20170320074245_35194.jpg	clean-images/floorplan/01_281_the-prime-ex-bkp-office-tower-the-prime_20170320074245_35194.jpg	Missing output file	2026-06-28T07:17:25+07:00
floorplan/01_346_ciputra-world-1-ciputra-world-1-tower-2_20170310015357_99800.jpg	clean-images/floorplan/01_346_ciputra-world-1-ciputra-world-1-tower-2_20170310015357_99800.jpg	Missing output file	2026-06-28T07:17:42+07:00
floorplan/01_348_centennial-millenium-millenium-centennial-center_20180202025856_92476.jpg	clean-images/floorplan/01_348_centennial-millenium-millenium-centennial-center_20180202025856_92476.jpg	Missing output file	2026-06-28T07:34:44+07:00
floorplan/01_42_lippo-kuningan-ex-life-tower-lippo-kuningan_20170222071936_72813.jpg	clean-images/floorplan/01_42_lippo-kuningan-ex-life-tower-lippo-kuningan_20170222071936_72813.jpg	Missing output file	2026-06-28T07:29:23+07:00
floorplan/01_466_gedung-konica-gedung-konica_20170407104540_73619.jpg	clean-images/floorplan/01_466_gedung-konica-gedung-konica_20170407104540_73619.jpg	Dimension verification failed	2026-06-28T07:17:59+07:00
floorplan/01_479_gedung-unifam-gedung-unifam_20170316042208_37925.jpg	clean-images/floorplan/01_479_gedung-unifam-gedung-unifam_20170316042208_37925.jpg	Missing output file	2026-06-28T07:32:06+07:00
floorplan/01_598_alfa-tower-alfa-tower_20180718034154_91383.jpg	clean-images/floorplan/01_598_alfa-tower-alfa-tower_20180718034154_91383.jpg	Missing output file	2026-06-28T07:29:00+07:00
floorplan/01_654_hermina-office-building-hermina-tower-2_20190729042924_68368.jpg	clean-images/floorplan/01_654_hermina-office-building-hermina-tower-2_20190729042924_68368.jpg	Dimension verification failed	2026-06-28T07:22:25+07:00
floorplan/01_74_menara-rajawali-menara-rajawali_20170331115639_94926.jpg	clean-images/floorplan/01_74_menara-rajawali-menara-rajawali_20170331115639_94926.jpg	Missing output file	2026-06-28T07:19:04+07:00
floorplan/02_129_sona-topas-tower-sona-topas-tower_20170418023245_11774.jpg	clean-images/floorplan/02_129_sona-topas-tower-sona-topas-tower_20170418023245_11774.jpg	Missing output file	2026-06-28T07:45:42+07:00
floorplan/02_14_menara-mulia-menara-mulia_20170317114328_39418.jpg	clean-images/floorplan/02_14_menara-mulia-menara-mulia_20170317114328_39418.jpg	Missing output file	2026-06-28T07:20:26+07:00
floorplan/02_1_capital-place-capital-place_20170410041741_76360.jpg	clean-images/floorplan/02_1_capital-place-capital-place_20170410041741_76360.jpg	Dimension verification failed	2026-06-28T07:22:38+07:00
floorplan/02_272_kobexindo-tower-kobexindo-tower_20170313102431_49362.jpg	clean-images/floorplan/02_272_kobexindo-tower-kobexindo-tower_20170313102431_49362.jpg	Missing output file	2026-06-28T07:21:38+07:00
floorplan/02_505_the-prominence-the-prominence-office-tower_20170505095813_32390.jpg	clean-images/floorplan/02_505_the-prominence-the-prominence-office-tower_20170505095813_32390.jpg	Missing output file	2026-06-28T07:23:26+07:00
floorplan/02_79_ciputra-world-1-dbs-bank-tower_20170310015326_14709.jpg	clean-images/floorplan/02_79_ciputra-world-1-dbs-bank-tower_20170310015326_14709.jpg	Codex removal failed	2026-06-28T07:33:29+07:00
floorplan/02_86_aia-central-aia-central_20170317112708_10462.jpg	clean-images/floorplan/02_86_aia-central-aia-central_20170317112708_10462.jpg	Missing output file	2026-06-28T07:33:30+07:00
floorplan/03_103_international-financial-center-ifc-international-financial-center-tower-2_20170222072256_99234.jpg	clean-images/floorplan/03_103_international-financial-center-ifc-international-financial-center-tower-2_20170222072256_99234.jpg	Dimension verification failed	2026-06-28T07:24:57+07:00
floorplan/03_153_plaza-permata-plaza-permata_20180606022750_28707.jpg	clean-images/floorplan/03_153_plaza-permata-plaza-permata_20180606022750_28707.jpg	Missing output file	2026-06-28T07:51:06+07:00
