missing_slug	score	suggested_content_id	suggested_building_name	content_url
allianz-tower	0.88		Medialand Tower (Ex Allianz Tower)	
allianz-tower	0.78		Alfa Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/563
allianz-tower	0.75		Palma Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/605
altira-altira	0.88		Altira Office Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/613
altira-altira	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
altira-altira	0.67		Atria at Sudirman	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/400
altira-altira-office-park-mini-office	0.88		Altira Office Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/613
altira-altira-office-park-mini-office	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
altira-altira-office-park-mini-office	0.88		Park Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/312
anz-tower	0.88		Medialand Tower (Ex Allianz Tower)	
anz-tower	0.82		NT Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/596
anz-tower	0.78		AXA Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/394
arrtu-agro-nusantara	0.88		Sol Office Suite (Ex Arrtu Agro Nusantara)	
arrtu-agro-nusantara	0.88		Plaza Agro	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/378
arrtu-agro-nusantara	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
bellezza-bellezza-shopping-arcade	0.88		Bellezza Shopping Arcade	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/544
bellezza-bellezza-shopping-arcade	0.41		Foresta Business Loft Signature	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/152
bellezza-bellezza-shopping-arcade	0.40		Plaza Basmar	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/9
bellezza-office-tower	0.88		Bellezza Shopping Arcade	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/544
bellezza-office-tower	0.76		Blugreen Office Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/212
bellezza-office-tower	0.75		Altira Office Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/613
berita-satu-plaza	0.88		Menara Satu	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/317
berita-satu-plaza	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
berita-satu-plaza	0.74		Ratu Plaza	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/418
blue-green-office-tower	0.95		Blugreen Office Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/212
blue-green-office-tower	0.72		The Prominence Office Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/540
blue-green-office-tower	0.71		Altira Office Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/613
cibis-tower	0.88		CIBIS Nine	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/82
cibis-tower	0.88		IS Plaza	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/322
cibis-tower	0.80		TBS Tower	
cibis-tower-9	0.88		IS Plaza	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/322
cibis-tower-9	0.73		TBS Tower	
cibis-tower-9	0.71		CIBIS Nine	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/82
ciputra-international-puri-3-phase-1	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
ciputra-international-puri-3-phase-1	0.88		NT Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/596
ciputra-international-puri-3-phase-1	0.45		International Financial Center	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/410
ciputra-world-2	0.94		Ciputra World 1 Tower 2	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/498
ciputra-world-2	0.88		Tokopedia Tower (Ex. Ciputra World 2)	
ciputra-world-2	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
ciputra-world-2-tokopedia-tower	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
ciputra-world-2-tokopedia-tower	0.74		Ciputra World 1 Tower 2	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/498
ciputra-world-2-tokopedia-tower	0.61		Citra North Towers	
ciputra-world-2-tokopedia-tower-tokopedia-tower	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
ciputra-world-2-tokopedia-tower-tokopedia-tower	0.60		Ciputra World 1 Tower 2	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/498
ciputra-world-2-tokopedia-tower-tokopedia-tower	0.52		Tokopedia Tower (Ex. Ciputra World 2)	
citra-towers-1	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
citra-towers-1	0.75		Citra North Towers	
citra-towers-1	0.75		Citra South Towers	
citra-towers-2	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
citra-towers-2	0.75		Citra North Towers	
citra-towers-2	0.75		Citra South Towers	
citylofts-sudirman	0.97		City Lofts Sudirman	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/352
citylofts-sudirman	0.88		City Plaza	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/260
citylofts-sudirman	0.88		Menara Sudirman	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/242
daswin-office-tower	0.88		Trinity Tower (Daswin Office Tower)	
daswin-office-tower	0.83		Kino Office Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/123
daswin-office-tower	0.80		ITS Office Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/622
de-ritz	1.00		De Ritz Building	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/85
de-ritz	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
de-ritz	0.59		Gedung Data Print	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/270
gallery-west	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
gallery-west	0.56		Liberty Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/325
gallery-west	0.54		Talavera Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/59
gandaria-8	1.00		Gandaria 8 Office Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/328
gandaria-8	0.88		Office 8	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/144
gandaria-8	0.63		Menara Mandiri 2	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/602
gedung-anakida	0.88		Plaza SUA (Ex Gedung Anakida)	
gedung-anakida	0.75		Gedung BNI	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/405
gedung-anakida	0.74		Gedung Tranka	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/532
gedung-arva	0.88		Gedung Arva Cikini	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/323
gedung-arva	0.88		Gedung Arva Gondangdia	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/585
gedung-arva	0.83		Gedung Mayora	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/567
gedung-bank-panin-senayan	0.83		Gedung Bank Panin Pusat	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/403
gedung-bank-panin-senayan	0.72		Panin Tower Senayan City	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/238
gedung-bank-panin-senayan	0.71		Gedung Panin Bank	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/404
gedung-bni-1	0.92		Gedung BRI 1	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/406
gedung-bni-1	0.91		Gedung BNI	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/405
gedung-bni-1	0.88		Menara BNI	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/571
gedung-hero	1.00		Hero Building	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/600
gedung-hero	0.88		Synthesis Tower 2 (Ex. Gedung Hero)	
gedung-hero	0.73		Gedung Rifa	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/5
gedung-indosat	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
gedung-indosat	0.88		Gedung Indosat Oreedo	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/62
gedung-indosat	0.85		Gedung Sindo	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/234
gedung-jaga	0.96		Gedung Jagat	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/620
gedung-jaga	0.91		Gedung Jaya	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/286
gedung-jaga	0.75		Gedung Tranka	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/532
gedung-mutiara	1.00		Plaza Mutiara	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/392
gedung-mutiara	1.00		Mutiara Building	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/15
gedung-mutiara	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
gold-coast-office-tower	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
gold-coast-office-tower	0.88		Eiffel Tower (Gold Coast Office Tower)	
gold-coast-office-tower	0.74		PuloMas Office Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/526
graha-adhi-media	0.97		Grha Adhi Media	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/267
graha-adhi-media	0.69		Graha Arda	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/364
graha-adhi-media	0.67		Graha Irama	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/366
graha-codefin	0.88		Kedutaan Besar Kerajaan Arab Saudi (Ex Graha Codefin)	
graha-codefin	0.70		Graha Pena	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/550
graha-codefin	0.70		Graha Inti	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/64
graha-fif	0.88		Menara FIF	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/486
graha-fif	0.78		Graha BIP	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/342
